OrderID,Product,Region,Quantity,UnitPrice,OrderDate,TotalSales
2047,Electronics,South,3,412,2023-01-13,1236
2048,Sports,West,10,66,2023-04-11,660
2049,Clothing,North,3,418,2023-06-10,1254
2050,Clothing,North,3,451,2023-01-24,1353
2051,Clothing,South,6,257,2023-04-18,1542
2052,Clothing,North,1,123,2023-01-11,123
2053,Electronics,East,7,229,2023-01-17,1603
2054,Home & Kitchen,East,1,61,2023-07-15,61
2055,Books,West,5,335,2023-06-24,1675
2056,Clothing,North,10,487,2023-01-25,4870
2057,Sports,South,8,473,2023-04-04,3784
2058,Clothing,East,4,287,2023-01-21,1148
2059,Sports,South,5,405,2023-03-25,2025
2060,Sports,South,4,282,2023-05-20,1128
2061,Clothing,East,4,355,2023-02-06,1420
2062,Electronics,South,8,406,2023-02-11,3248
2063,Sports,East,2,384,2023-05-25,768
2064,Sports,South,1,278,2023-04-11,278
2065,Clothing,East,3,302,2023-02-17,906
2066,Sports,North,9,133,2023-04-13,1197
2067,Sports,West,4,382,2023-01-28,1528
2068,Clothing,East,10,59,2023-02-10,590
2069,Clothing,East,5,436,2023-04-09,2180
2070,Books,West,2,239,2023-02-16,478
2071,Electronics,East,4,148,2023-05-26,592
2072,Electronics,East,2,27,2023-04-15,54
2073,Sports,South,2,120,2023-05-04,240
2074,Electronics,West,4,435,2023-07-18,1740
2075,Sports,North,6,399,2023-01-13,2394
2076,Books,East,7,195,2023-05-21,1365
2077,Clothing,West,10,126,2023-04-10,1260
2078,Clothing,South,3,120,2023-01-31,360
2079,Clothing,North,3,279,2023-05-10,837
2080,Electronics,West,10,497,2023-01-16,4970
2081,Books,North,6,473,2023-05-17,2838
2082,Electronics,North,3,385,2023-03-14,1155
2083,Electronics,North,2,265,2023-06-15,530
2084,Books,East,8,294,2023-02-23,2352
2085,Books,East,5,51,2023-07-03,255
2086,Books,South,1,156,2023-04-10,156
2087,Books,South,3,31,2023-04-19,93
2088,Clothing,West,10,414,2023-03-28,4140
2089,Home & Kitchen,South,8,321,2023-06-22,2568
2090,Home & Kitchen,North,4,394,2023-06-11,1576
2091,Books,North,7,35,2023-05-17,245
2092,Home & Kitchen,East,10,148,2023-01-08,1480
2093,Home & Kitchen,North,2,82,2023-01-07,164
2094,Books,West,7,128,2023-02-05,896
2095,Home & Kitchen,North,5,394,2023-01-18,1970
2096,Electronics,North,5,40,2023-01-03,200
2097,Sports,West,6,177,2023-01-28,1062
2098,Sports,South,9,288,2023-03-11,2592
2099,Books,South,6,181,2023-06-21,1086
2100,Clothing,West,8,279,2023-05-29,2232
2101,Books,East,7,431,2023-01-28,3017
2102,Clothing,North,9,121,2023-02-23,1089
2103,Sports,West,4,242,2023-07-01,968
2104,Books,North,2,78,2023-03-06,156
2105,Electronics,East,7,266,2023-04-10,1862
2106,Home & Kitchen,North,6,147,2023-01-21,882
2107,Clothing,West,1,302,2023-01-13,302
2108,Home & Kitchen,North,9,344,2023-02-26,3096
2109,Home & Kitchen,South,9,44,2023-02-18,396
2110,Books,East,2,150,2023-04-28,300
2111,Home & Kitchen,East,3,372,2023-02-23,1116
2112,Electronics,East,5,215,2023-05-18,1075
2113,Home & Kitchen,West,5,300,2023-02-22,1500
2114,Books,East,1,423,2023-02-13,423
2115,Electronics,South,8,437,2023-02-16,3496
2116,Sports,West,8,173,2023-02-22,1384
2117,Home & Kitchen,South,4,401,2023-03-15,1604
2118,Books,North,7,152,2023-02-15,1064
2119,Sports,North,10,246,2023-01-13,2460
2120,Sports,North,3,208,2023-06-14,624
2121,Clothing,North,6,495,2023-04-12,2970
2122,Electronics,South,10,496,2023-01-24,4960
2123,Home & Kitchen,West,10,284,2023-01-02,2840
2124,Books,West,9,391,2023-03-22,3519
2125,Clothing,East,1,453,2023-04-10,453
2126,Electronics,South,5,153,2023-05-22,765
2127,Clothing,North,4,230,2023-05-18,920
2128,Electronics,South,8,79,2023-06-12,632
2129,Electronics,East,1,447,2023-06-02,447
2130,Home & Kitchen,East,9,396,2023-05-11,3564
2131,Electronics,South,6,414,2023-04-21,2484
2132,Clothing,South,4,469,2023-04-12,1876
2133,Electronics,South,9,450,2023-01-17,4050
2134,Home & Kitchen,West,5,383,2023-01-12,1915
2135,Home & Kitchen,North,5,383,2023-07-01,1915
2136,Clothing,South,5,476,2023-04-26,2380
2137,Sports,South,1,232,2023-01-24,232
2138,Sports,South,1,235,2023-01-29,235
2139,Electronics,East,8,245,2023-06-20,1960
2140,Books,East,8,489,2023-06-02,3912
2141,Electronics,West,6,150,2023-05-02,900
2142,Clothing,North,4,95,2023-07-07,380
2143,Clothing,West,2,495,2023-03-31,990
2144,Clothing,North,2,305,2023-03-06,610
2145,Clothing,East,9,493,2023-03-25,4437
2146,Clothing,East,5,296,2023-04-29,1480
2147,Home & Kitchen,East,4,175,2023-06-05,700
2148,Sports,West,10,267,2023-01-16,2670
2149,Clothing,South,1,237,2023-06-24,237
2150,Books,South,7,209,2023-04-14,1463
2151,Books,East,3,436,2023-04-02,1308
2152,Books,South,6,488,2023-07-05,2928
2153,Books,South,5,182,2023-01-27,910
2154,Home & Kitchen,West,5,199,2023-06-30,995
2155,Books,North,5,53,2023-06-19,265
2156,Clothing,East,1,60,2023-07-06,60
2157,Electronics,East,1,326,2023-06-24,326
2158,Books,West,3,450,2023-06-11,1350
2159,Home & Kitchen,West,10,357,2023-06-14,3570
2160,Home & Kitchen,South,4,333,2023-05-14,1332
2161,Books,East,5,94,2023-05-15,470
2162,Electronics,North,2,460,2023-06-02,920
2163,Books,West,8,298,2023-02-02,2384
2164,Home & Kitchen,North,2,195,2023-02-24,390
2165,Sports,North,9,403,2023-07-05,3627
2166,Clothing,East,2,169,2023-01-07,338
2167,Home & Kitchen,East,9,292,2023-02-26,2628
2168,Books,West,7,344,2023-05-06,2408
2169,Clothing,East,8,127,2023-01-12,1016
2170,Books,East,2,158,2023-01-16,316
2171,Books,East,7,369,2023-02-12,2583
2172,Sports,North,6,290,2023-04-27,1740
2173,Clothing,West,4,366,2023-05-15,1464
2174,Clothing,South,7,438,2023-04-21,3066
2175,Sports,North,4,308,2023-02-20,1232
2176,Home & Kitchen,East,2,231,2023-06-09,462
2177,Books,North,10,400,2023-03-16,4000
2178,Electronics,East,7,291,2023-01-08,2037
2179,Books,East,8,437,2023-07-19,3496
2180,Books,North,2,85,2023-02-14,170
2181,Home & Kitchen,West,5,443,2023-02-28,2215
2182,Books,East,1,267,2023-05-12,267
2183,Sports,West,7,175,2023-04-14,1225
2184,Sports,South,8,66,2023-07-14,528
2185,Clothing,East,6,442,2023-06-06,2652
2186,Electronics,West,5,473,2023-06-06,2365
2187,Books,West,6,220,2023-04-08,1320
2188,Books,South,2,167,2023-06-05,334
2189,Home & Kitchen,West,1,143,2023-03-20,143
2190,Sports,West,7,20,2023-05-04,140
2191,Electronics,South,7,475,2023-06-21,3325
2192,Clothing,East,10,266,2023-01-04,2660
2193,Sports,West,10,362,2023-03-31,3620
2194,Clothing,West,2,147,2023-04-14,294
2195,Home & Kitchen,West,2,210,2023-05-17,420
2196,Home & Kitchen,North,1,86,2023-04-29,86
2197,Books,South,10,23,2023-05-13,230
2198,Electronics,North,8,461,2023-02-25,3688
2199,Clothing,South,8,428,2023-04-06,3424
2200,Sports,East,1,322,2023-06-27,322
2201,Home & Kitchen,East,8,313,2023-03-16,2504
2202,Books,West,9,162,2023-05-23,1458
2203,Books,South,4,210,2023-02-01,840
2204,Clothing,East,1,40,2023-01-28,40
2205,Home & Kitchen,South,1,246,2023-01-22,246
2206,Electronics,East,3,332,2023-01-17,996
2207,Home & Kitchen,North,5,136,2023-02-28,680
2208,Clothing,East,5,456,2023-03-31,2280
2209,Clothing,North,9,321,2023-07-18,2889
2210,Home & Kitchen,East,10,161,2023-04-16,1610
2211,Clothing,West,2,479,2023-07-04,958
2212,Home & Kitchen,North,2,420,2023-01-26,840
2213,Sports,East,6,58,2023-01-25,348
2214,Home & Kitchen,West,9,412,2023-05-18,3708
2215,Home & Kitchen,North,1,374,2023-02-14,374
2216,Clothing,West,9,271,2023-03-24,2439
2217,Clothing,South,9,352,2023-01-11,3168
2218,Books,South,9,226,2023-06-30,2034
2219,Books,North,5,229,2023-07-19,1145
2220,Sports,East,9,134,2023-04-14,1206
2221,Books,North,4,244,2023-03-09,976
2222,Home & Kitchen,West,2,153,2023-04-05,306
2223,Clothing,East,6,270,2023-06-05,1620
2224,Books,South,4,238,2023-03-06,952
2225,Books,East,6,426,2023-02-18,2556
2226,Sports,South,3,462,2023-06-24,1386
2227,Sports,East,6,110,2023-02-21,660
2228,Home & Kitchen,East,2,373,2023-04-12,746
2229,Clothing,East,2,395,2023-07-01,790
2230,Sports,West,9,65,2023-07-07,585
2231,Books,West,7,57,2023-02-26,399
2232,Clothing,North,3,161,2023-02-16,483
2233,Clothing,North,1,119,2023-06-08,119
2234,Books,South,8,347,2023-06-23,2776
2235,Sports,West,6,209,2023-01-26,1254
2236,Books,South,7,54,2023-04-24,378
2237,Clothing,North,9,166,2023-01-05,1494
2238,Electronics,South,5,49,2023-03-25,245
2239,Electronics,North,1,353,2023-02-21,353
2240,Home & Kitchen,West,10,103,2023-04-15,1030
2241,Books,East,7,388,2023-02-23,2716
2242,Books,West,5,300,2023-06-10,1500
2243,Home & Kitchen,South,3,443,2023-06-27,1329
2244,Home & Kitchen,South,9,363,2023-06-15,3267
2245,Home & Kitchen,West,1,289,2023-06-04,289
2246,Clothing,West,1,173,2023-01-15,173
2247,Books,North,1,121,2023-03-02,121
2248,Clothing,South,3,234,2023-05-02,702
2249,Home & Kitchen,South,6,169,2023-01-21,1014
2250,Books,West,10,451,2023-02-15,4510
2251,Clothing,East,3,102,2023-07-16,306
2252,Clothing,South,8,129,2023-05-14,1032
2253,Home & Kitchen,East,10,454,2023-02-07,4540
2254,Books,West,2,406,2023-03-03,812
2255,Home & Kitchen,West,9,445,2023-03-27,4005
2256,Books,North,3,294,2023-07-09,882
2257,Electronics,South,5,220,2023-03-19,1100
2258,Sports,East,10,303,2023-02-15,3030
2259,Sports,North,8,487,2023-05-21,3896
2260,Sports,South,2,192,2023-01-03,384
2261,Home & Kitchen,North,6,346,2023-01-06,2076
2262,Electronics,West,5,225,2023-04-03,1125
2263,Books,South,10,82,2023-01-08,820
2264,Clothing,North,9,92,2023-06-21,828
2265,Books,North,5,270,2023-04-18,1350
2266,Clothing,East,2,143,2023-06-10,286
2267,Books,North,5,394,2023-03-16,1970
2268,Electronics,South,4,140,2023-03-18,560
2269,Clothing,South,7,294,2023-02-19,2058
2270,Home & Kitchen,East,6,450,2023-01-11,2700
2271,Books,South,2,417,2023-04-05,834
2272,Books,West,5,139,2023-06-05,695
2273,Clothing,South,7,441,2023-03-11,3087
2274,Home & Kitchen,South,7,456,2023-06-18,3192
2275,Home & Kitchen,North,5,336,2023-01-16,1680
2276,Electronics,North,9,183,2023-03-09,1647
2277,Home & Kitchen,South,4,443,2023-04-09,1772
2278,Home & Kitchen,East,3,484,2023-02-17,1452
2279,Home & Kitchen,North,4,305,2023-07-03,1220
2280,Sports,East,5,284,2023-03-05,1420
2281,Electronics,South,6,339,2023-07-06,2034
2282,Books,South,3,180,2023-03-31,540
2283,Clothing,West,2,395,2023-07-09,790
2284,Books,North,4,327,2023-03-17,1308
2285,Electronics,South,5,108,2023-05-19,540
2286,Clothing,West,4,161,2023-04-11,644
2287,Electronics,North,3,222,2023-03-30,666
2288,Home & Kitchen,South,8,328,2023-01-18,2624
2289,Clothing,South,10,246,2023-01-19,2460
2290,Home & Kitchen,North,4,462,2023-02-24,1848
2291,Books,North,2,353,2023-04-12,706
2292,Books,North,2,241,2023-04-28,482
2293,Clothing,South,1,60,2023-06-03,60
2294,Clothing,South,4,215,2023-05-14,860
2295,Electronics,West,10,87,2023-01-04,870
2296,Electronics,East,9,495,2023-04-18,4455
2297,Home & Kitchen,North,7,283,2023-04-25,1981
2298,Clothing,South,10,21,2023-01-29,210
2299,Books,South,7,380,2023-02-28,2660
2300,Electronics,North,7,144,2023-05-05,1008
2301,Electronics,East,8,129,2023-04-08,1032
2302,Books,North,1,105,2023-01-17,105
2303,Electronics,East,10,444,2023-04-17,4440
2304,Home & Kitchen,South,10,139,2023-02-12,1390
2305,Clothing,East,8,146,2023-03-21,1168
2306,Books,West,4,274,2023-07-13,1096
2307,Clothing,South,4,202,2023-06-11,808
2308,Electronics,West,4,35,2023-01-08,140
2309,Electronics,North,6,496,2023-05-21,2976
2310,Books,North,7,81,2023-04-16,567
2311,Home & Kitchen,North,6,388,2023-01-08,2328
2312,Sports,East,1,451,2023-04-06,451
2313,Books,South,8,177,2023-04-04,1416
2314,Sports,North,10,287,2023-03-06,2870
2315,Sports,North,7,54,2023-06-20,378
2316,Home & Kitchen,South,6,286,2023-02-08,1716
2317,Sports,North,6,83,2023-03-22,498
2318,Sports,West,5,69,2023-07-06,345
2319,Home & Kitchen,South,6,488,2023-03-25,2928
2320,Sports,South,9,274,2023-03-29,2466
2321,Sports,South,10,168,2023-03-27,1680
2322,Sports,West,9,344,2023-04-03,3096
2323,Books,South,10,323,2023-03-27,3230
2324,Books,West,8,295,2023-02-13,2360
2325,Books,South,10,376,2023-05-17,3760
2326,Home & Kitchen,East,9,470,2023-06-14,4230
2327,Electronics,North,10,191,2023-03-15,1910
2328,Sports,East,8,436,2023-02-05,3488
2329,Sports,North,8,220,2023-04-11,1760
2330,Home & Kitchen,West,1,464,2023-06-05,464
2331,Sports,East,10,412,2023-06-19,4120
2332,Books,South,5,343,2023-06-20,1715
2333,Electronics,North,4,54,2023-06-19,216
2334,Clothing,North,2,484,2023-04-14,968
2335,Sports,East,8,235,2023-03-07,1880
2336,Books,West,3,499,2023-02-24,1497
2337,Clothing,East,4,84,2023-07-19,336
2338,Electronics,West,7,27,2023-06-25,189
2339,Clothing,West,10,320,2023-04-01,3200
2340,Books,North,9,362,2023-01-22,3258
2341,Clothing,East,2,450,2023-04-11,900
2342,Home & Kitchen,East,3,443,2023-06-04,1329
2343,Clothing,West,4,351,2023-05-01,1404
2344,Sports,East,10,457,2023-04-03,4570
2345,Sports,South,1,95,2023-07-14,95
2346,Home & Kitchen,South,7,193,2023-04-18,1351
2347,Books,East,2,66,2023-05-21,132
2348,Sports,East,5,34,2023-06-22,170
2349,Electronics,West,1,380,2023-01-10,380
2350,Sports,South,3,166,2023-01-09,498
2351,Sports,South,2,45,2023-07-01,90
2352,Books,North,1,327,2023-06-04,327
2353,Clothing,West,7,112,2023-02-03,784
2354,Sports,North,5,425,2023-05-09,2125
2355,Home & Kitchen,South,1,251,2023-06-09,251
2356,Clothing,West,6,40,2023-03-30,240
2357,Electronics,East,5,326,2023-04-03,1630
2358,Books,West,3,57,2023-03-12,171
2359,Electronics,East,7,295,2023-03-08,2065
2360,Clothing,East,10,176,2023-05-28,1760
2361,Clothing,West,9,198,2023-04-27,1782
2362,Clothing,East,9,151,2023-04-04,1359
2363,Electronics,North,9,330,2023-06-12,2970
2364,Clothing,South,2,474,2023-04-09,948
2365,Electronics,East,3,367,2023-04-23,1101
2366,Clothing,North,7,47,2023-04-13,329
2367,Home & Kitchen,East,5,279,2023-04-01,1395
2368,Clothing,South,2,425,2023-03-31,850
2369,Electronics,North,3,95,2023-01-17,285
2370,Sports,South,10,448,2023-01-18,4480
2371,Clothing,South,6,86,2023-06-22,516
2372,Sports,North,7,361,2023-04-26,2527
2373,Home & Kitchen,North,9,213,2023-04-03,1917
2374,Books,North,1,491,2023-06-30,491
2375,Home & Kitchen,West,7,181,2023-04-01,1267
2376,Clothing,North,8,366,2023-03-23,2928
2377,Sports,North,3,458,2023-03-09,1374
2378,Sports,North,4,380,2023-07-12,1520
2379,Electronics,North,10,276,2023-04-24,2760
2380,Sports,East,6,91,2023-01-01,546
2381,Electronics,West,10,106,2023-02-27,1060
2382,Books,South,7,441,2023-06-03,3087
2383,Clothing,North,4,281,2023-04-19,1124
2384,Electronics,East,8,233,2023-05-28,1864
2385,Books,East,5,172,2023-04-26,860
2386,Sports,East,1,229,2023-03-28,229
2387,Sports,South,4,420,2023-01-10,1680
2388,Books,North,3,80,2023-02-28,240
2389,Sports,West,9,287,2023-02-10,2583
2390,Books,West,8,281,2023-04-15,2248
2391,Electronics,East,1,237,2023-05-13,237
2392,Electronics,South,6,302,2023-05-02,1812
2393,Books,South,9,155,2023-07-12,1395
2394,Electronics,South,7,486,2023-05-25,3402
2395,Electronics,West,4,399,2023-01-22,1596
2396,Electronics,East,1,381,2023-04-08,381
2397,Home & Kitchen,North,2,468,2023-06-18,936
2398,Clothing,West,5,460,2023-03-09,2300
2399,Sports,East,5,112,2023-07-16,560
2400,Home & Kitchen,East,8,128,2023-05-19,1024
2401,Electronics,North,6,260,2023-02-25,1560
2402,Books,North,8,374,2023-06-28,2992
2403,Electronics,North,2,443,2023-05-29,886
2404,Clothing,South,3,161,2023-04-09,483
2405,Electronics,North,6,310,2023-03-17,1860
2406,Books,East,10,451,2023-01-26,4510
2407,Clothing,North,3,256,2023-04-25,768
2408,Electronics,East,6,359,2023-05-27,2154
2409,Clothing,West,6,331,2023-04-19,1986
2410,Sports,South,2,196,2023-07-07,392
2411,Sports,West,7,160,2023-07-18,1120
2412,Electronics,West,2,208,2023-02-16,416
2413,Clothing,East,6,68,2023-03-12,408
2414,Books,West,1,321,2023-06-03,321
2415,Electronics,East,3,388,2023-02-09,1164
2416,Sports,North,2,209,2023-05-13,418
2417,Sports,North,7,155,2023-05-29,1085
2418,Electronics,East,4,62,2023-05-12,248
2419,Clothing,North,8,423,2023-01-23,3384
2420,Sports,South,6,399,2023-04-16,2394
2421,Clothing,West,10,372,2023-03-25,3720
2422,Sports,South,4,109,2023-05-23,436
2423,Sports,West,5,314,2023-04-26,1570
2424,Home & Kitchen,North,9,360,2023-04-19,3240
2425,Sports,South,7,264,2023-05-16,1848
2426,Books,North,10,452,2023-02-10,4520
2427,Electronics,West,9,211,2023-04-22,1899
2428,Electronics,East,7,337,2023-05-27,2359
2429,Clothing,East,1,125,2023-04-22,125
2430,Sports,South,8,382,2023-04-13,3056
2431,Books,North,4,329,2023-02-15,1316
2432,Clothing,North,3,401,2023-06-05,1203
2433,Home & Kitchen,South,7,252,2023-03-09,1764
2434,Clothing,East,3,284,2023-05-02,852
2435,Clothing,West,8,363,2023-01-15,2904
2436,Sports,South,6,56,2023-06-14,336
2437,Home & Kitchen,West,5,324,2023-05-09,1620
2438,Clothing,East,4,60,2023-07-14,240
2439,Books,North,8,36,2023-04-21,288
2440,Books,East,8,363,2023-01-24,2904
2441,Electronics,South,1,296,2023-01-27,296
2442,Home & Kitchen,North,9,326,2023-02-09,2934
2443,Home & Kitchen,South,5,78,2023-07-10,390
2444,Electronics,South,4,442,2023-07-08,1768
2445,Clothing,East,6,202,2023-06-13,1212
2446,Home & Kitchen,South,6,60,2023-01-24,360
2447,Books,East,2,58,2023-01-24,116
2448,Books,North,8,416,2023-01-04,3328
2449,Sports,East,7,211,2023-03-08,1477
2450,Home & Kitchen,North,1,286,2023-02-03,286
2451,Clothing,East,5,166,2023-07-04,830
2452,Electronics,West,6,414,2023-06-26,2484
2453,Electronics,West,4,352,2023-06-30,1408
2454,Clothing,South,2,146,2023-04-26,292
2455,Sports,East,4,65,2023-01-23,260
2456,Electronics,East,1,64,2023-04-19,64
2457,Home & Kitchen,North,7,20,2023-03-10,140
2458,Sports,South,2,187,2023-04-05,374
2459,Home & Kitchen,East,2,127,2023-06-30,254
2460,Books,South,9,38,2023-03-03,342
2461,Sports,West,5,351,2023-06-18,1755
2462,Electronics,East,2,91,2023-02-26,182
2463,Sports,East,9,475,2023-07-07,4275
2464,Sports,South,9,464,2023-02-23,4176
2465,Sports,East,1,128,2023-03-11,128
2466,Sports,South,3,287,2023-04-11,861
2467,Home & Kitchen,East,4,464,2023-02-26,1856
2468,Books,North,7,259,2023-05-18,1813
2469,Clothing,South,10,436,2023-06-17,4360
2470,Sports,East,4,320,2023-05-15,1280
2471,Electronics,West,2,109,2023-04-13,218
2472,Sports,East,7,122,2023-06-15,854
2473,Electronics,West,6,495,2023-03-26,2970
2474,Home & Kitchen,West,3,269,2023-03-02,807
2475,Electronics,North,6,472,2023-01-03,2832
2476,Clothing,South,6,27,2023-05-08,162
2477,Books,East,5,172,2023-06-28,860
2478,Electronics,North,4,366,2023-03-27,1464
2479,Electronics,East,10,193,2023-02-16,1930
2480,Books,West,1,362,2023-07-15,362
2481,Clothing,South,10,177,2023-03-17,1770
2482,Sports,East,6,450,2023-02-07,2700
2483,Electronics,East,2,234,2023-06-13,468
2484,Books,West,3,196,2023-06-18,588
2485,Home & Kitchen,East,8,194,2023-07-16,1552
2486,Books,East,10,359,2023-05-21,3590
2487,Home & Kitchen,West,6,357,2023-03-28,2142
2488,Clothing,North,3,165,2023-02-27,495
2489,Sports,West,7,469,2023-02-19,3283
2490,Books,North,4,343,2023-01-30,1372
2491,Electronics,South,9,497,2023-07-09,4473
2492,Clothing,North,5,180,2023-04-11,900
2493,Books,North,3,146,2023-01-25,438
2494,Electronics,South,2,439,2023-04-22,878
2495,Books,North,2,101,2023-06-04,202
2496,Home & Kitchen,West,3,166,2023-06-28,498
2497,Books,North,2,258,2023-07-04,516
2498,Books,South,4,431,2023-05-06,1724
2499,Books,West,2,443,2023-05-03,886
2500,Clothing,South,10,103,2023-02-16,1030
2501,Books,South,9,132,2023-04-28,1188
2502,Electronics,East,2,244,2023-02-08,488
2503,Home & Kitchen,East,9,351,2023-01-16,3159
2504,Home & Kitchen,South,6,397,2023-01-22,2382
2505,Books,South,1,262,2023-02-23,262
2506,Clothing,South,4,162,2023-05-29,648
2507,Clothing,East,1,60,2023-07-19,60
2508,Electronics,East,6,442,2023-01-16,2652
2509,Books,North,4,277,2023-02-28,1108
2510,Home & Kitchen,North,3,466,2023-01-31,1398
2511,Clothing,South,3,304,2023-06-19,912
2512,Books,West,9,124,2023-02-01,1116
2513,Clothing,West,6,221,2023-07-06,1326
2514,Clothing,East,9,469,2023-06-11,4221
2515,Home & Kitchen,East,5,326,2023-01-09,1630
2516,Sports,East,2,350,2023-05-19,700
2517,Electronics,South,8,480,2023-01-10,3840
2518,Electronics,West,5,285,2023-01-17,1425
2519,Home & Kitchen,North,2,417,2023-03-09,834
2520,Clothing,South,4,229,2023-02-17,916
2521,Books,North,9,70,2023-06-29,630
2522,Clothing,North,4,137,2023-04-21,548
2523,Home & Kitchen,South,4,220,2023-06-02,880
2524,Electronics,North,2,396,2023-05-03,792
2525,Clothing,West,6,58,2023-05-29,348
2526,Electronics,North,2,47,2023-04-11,94
2527,Books,West,7,278,2023-04-12,1946
2528,Electronics,West,3,103,2023-03-06,309
2529,Electronics,West,3,473,2023-07-10,1419
2530,Sports,East,5,174,2023-02-20,870
2531,Sports,North,3,136,2023-02-05,408
2532,Sports,South,2,21,2023-03-22,42
2533,Electronics,South,10,112,2023-05-07,1120
2534,Home & Kitchen,North,9,185,2023-03-29,1665
2535,Electronics,East,2,406,2023-07-13,812
2536,Home & Kitchen,East,2,419,2023-04-14,838
2537,Home & Kitchen,West,8,369,2023-01-15,2952
2538,Sports,North,9,315,2023-04-06,2835
2539,Clothing,North,7,277,2023-06-16,1939
2540,Books,South,3,100,2023-05-03,300
2541,Sports,North,9,444,2023-07-17,3996
2542,Sports,East,3,287,2023-01-01,861
2543,Clothing,North,5,438,2023-05-31,2190
2544,Books,South,9,254,2023-05-02,2286
2545,Electronics,West,3,340,2023-06-16,1020
2546,Electronics,South,7,330,2023-05-06,2310
2547,Sports,South,1,320,2023-02-26,320
2548,Books,West,4,482,2023-03-22,1928
2549,Sports,South,4,493,2023-06-11,1972
2550,Home & Kitchen,South,7,376,2023-06-18,2632
2551,Sports,North,8,232,2023-03-14,1856
2552,Sports,North,1,81,2023-05-21,81
2553,Electronics,West,5,68,2023-03-11,340
2554,Electronics,North,7,146,2023-01-06,1022
2555,Electronics,North,4,242,2023-03-25,968
2556,Home & Kitchen,South,4,428,2023-02-21,1712
2557,Electronics,East,4,298,2023-01-03,1192
2558,Books,North,6,427,2023-03-22,2562
2559,Clothing,East,7,313,2023-03-04,2191
2560,Books,North,2,303,2023-02-18,606
2561,Books,North,5,296,2023-03-17,1480
2562,Electronics,West,4,457,2023-04-22,1828
2563,Clothing,West,3,126,2023-06-24,378
2564,Clothing,West,7,165,2023-04-19,1155
2565,Clothing,East,6,439,2023-07-02,2634
2566,Home & Kitchen,South,7,118,2023-07-11,826
2567,Electronics,North,5,448,2023-03-06,2240
2568,Clothing,North,6,394,2023-03-22,2364
2569,Home & Kitchen,North,5,92,2023-07-14,460
2570,Sports,East,7,456,2023-01-15,3192
2571,Sports,West,2,141,2023-04-10,282
2572,Home & Kitchen,South,5,49,2023-02-01,245
2573,Home & Kitchen,East,6,207,2023-04-06,1242
2574,Electronics,West,6,383,2023-05-08,2298
2575,Electronics,East,5,373,2023-07-15,1865
2576,Sports,South,10,307,2023-05-26,3070
2577,Clothing,West,7,470,2023-04-23,3290
2578,Sports,East,10,214,2023-03-24,2140
2579,Clothing,South,8,175,2023-02-12,1400
2580,Clothing,North,7,191,2023-04-26,1337
2581,Electronics,South,5,354,2023-06-12,1770
2582,Books,North,1,60,2023-03-19,60
2583,Books,East,5,82,2023-02-27,410
2584,Home & Kitchen,West,10,42,2023-02-02,420
2585,Electronics,West,2,379,2023-01-14,758
2586,Clothing,East,5,94,2023-06-11,470
2587,Books,West,5,67,2023-07-08,335
